,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
332,Victor Camarasa,MID,Real Betis,0,29,0,0,0,0,0,0,0,0,0,0,0,0
333,Paul Akouokou,MID,Real Betis,9,29,10,0,0,1,2,0,0,0,0,0,0,0
334,Rodri Sanchez,MID,Real Betis,59,29,36,2,2,6,0,0,0,0,0,0,1,0
335,Juanmi,MID,Real Betis,45,29,23,4,0,2,3,0,0,0,0,0,3,0
336,Joaquin,MID,Real Betis,18,29,16,0,1,1,2,0,0,0,0,0,0,0
337,Luiz Henrique,MID,Real Betis,52,29,39,1,2,3,5,0,0,0,0,0,4,0
338,Sergio Canales,MID,Real Betis,73,29,39,4,2,6,2,2,0,0,0,0,10,0
339,Andres Guardado,MID,Real Betis,39,29,30,1,1,3,5,0,0,0,0,0,3,0
340,William Carvalho,MID,Real Betis,72,29,45,3,0,9,6,1,0,0,0,0,12,0
341,Guido Rodriguez,MID,Real Betis,53,29,47,0,0,8,6,0,0,0,0,0,4,0
342,Nabil Fekir,MID,Real Betis,39,29,25,2,2,5,5,1,0,0,0,0,1,0
343,Loren Moron,FWD,Real Betis,1,29,2,0,0,0,1,0,0,0,0,0,0,0
344,Borja Iglesias,FWD,Real Betis,108,29,49,12,3,0,1,1,0,1,0,0,8,0
345,Willian Jose,FWD,Real Betis,27,29,24,1,0,0,1,0,0,0,0,0,0,0
346,Andriy Lunin,GK,Real Madrid,29,29,12,0,0,3,0,0,0,0,2,0,3,0
347,Thibaut Courtois,GK,Real Madrid,98,29,46,0,0,8,0,0,0,0,15,0,9,4
348,Vinicius Tobias,DEF,Real Madrid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
349,Jesus Vallejo,DEF,Real Madrid,0,29,0,0,0,0,0,0,0,0,0,0,0,0
350,Alvaro Odriozola,DEF,Real Madrid,6,29,2,0,0,1,0,0,0,0,0,0,0,0
351,Nacho Fernandez,DEF,Real Madrid,62,29,31,1,1,7,5,0,1,0,0,0,2,1
352,Lucas Vasquez,DEF,Real Madrid,48,29,22,3,0,2,1,0,0,0,0,0,2,1
353,Ferland Mendy,DEF,Real Madrid,35,29,28,0,1,2,2,0,0,0,0,0,0,2
354,Daniel Carvajal,DEF,Real Madrid,48,29,36,0,1,3,4,0,0,0,0,0,3,2
355,Antonio Rudiger,DEF,Real Madrid,85,29,46,1,0,9,1,0,0,0,0,0,1,3
356,Eder Militao,DEF,Real Madrid,108,29,44,4,0,9,3,0,0,0,0,0,11,4
357,David Alaba,DEF,Real Madrid,75,29,39,1,3,6,3,0,0,0,0,0,2,2
358,Dani Ceballos,MID,Real Madrid,48,29,33,0,2,8,4,0,0,0,0,0,5,0
359,Reinier,MID,Girona,17,29,13,1,0,0,1,1,0,0,0,0,0,0
360,Aurelien Tchouameni,MID,Real Madrid,65,29,40,0,4,4,1,0,0,0,0,0,10,0
361,Federico Valverde,MID,Real Madrid,121,29,51,7,3,9,2,0,0,0,0,0,19,0
362,Eduardo Camavinga,MID,Real Madrid,55,29,43,0,1,9,4,0,0,0,0,0,4,0
363,Casemiro,MID,Real Madrid,1,29,1,0,0,0,0,0,0,0,0,0,0,0
364,Toni Kroos,MID,Real Madrid,82,29,41,2,3,7,0,1,0,0,0,0,18,0
365,Luka Modric,MID,Real Madrid,73,29,41,4,3,4,6,0,0,0,0,0,5,0
366,Mariano Diaz,FWD,Real Madrid,2,29,4,0,0,0,2,0,0,0,0,0,0,0
367,Marco Asensio,FWD,Real Madrid,82,29,33,7,5,6,1,0,0,1,0,0,9,0
368,Rodrygo,FWD,Real Madrid,99,29,45,5,7,1,2,0,0,0,0,0,15,0
369,Vinicius Junior,FWD,Real Madrid,114,29,54,9,6,0,8,0,0,0,0,0,14,0
370,Eden Hazard,FWD,Real Madrid,6,29,5,0,1,0,0,0,0,1,0,0,0,0
371,Karim Benzema,FWD,Real Madrid,120,29,37,14,3,0,1,0,0,1,0,0,21,0
372,Andoni Zubiaurre,GK,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
373,Alex Remiro,GK,Real Sociedad,127,29,58,0,0,11,1,0,0,0,16,1,13,8
374,Aritz Arambarri,DEF,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
375,Alex Sola,DEF,Real Sociedad,18,29,13,0,0,1,1,0,0,0,0,0,3,1
376,Urko Gonzalez,DEF,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
377,Jon Pacheco,DEF,Real Sociedad,27,29,20,0,0,3,2,0,0,0,0,0,0,3
378,Aihen Munoz,DEF,Real Sociedad,36,29,26,0,0,4,0,0,0,0,0,0,0,6
379,Andoni Gorosabel,DEF,Real Sociedad,49,29,31,0,0,5,2,0,0,0,0,0,2,2
380,Jonathan Gomez,DEF,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
381,Diego Rico,DEF,Real Sociedad,53,29,32,0,0,6,3,0,0,0,0,0,2,2
382,Igor Zubeldia,DEF,Real Sociedad,72,29,44,1,0,8,6,0,1,0,0,0,4,6
383,Aritz Elustondo,DEF,Real Sociedad,55,29,29,0,1,7,4,1,0,0,0,0,4,2
384,Robin Le Normand,DEF,Real Sociedad,85,29,50,0,0,10,5,0,1,0,0,0,7,5
385,Ander Martin,MID,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
386,Jon Ander Olasagasti,MID,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
387,Peter Pokorny,MID,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
388,Benat Turrientes,MID,Real Sociedad,6,29,6,0,0,0,0,0,0,0,0,0,0,0
389,Ander Guevara,MID,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
390,Asier Illarramendi,MID,Real Sociedad,32,29,24,1,0,5,4,0,0,0,0,0,2,0
391,Martin Zubimendi,MID,Real Sociedad,67,29,52,1,2,8,10,0,0,0,0,0,6,0
392,Brais Mendez,MID,Real Sociedad,115,29,51,7,3,11,6,0,0,0,0,0,15,0
393,Mikel Merino,MID,Real Sociedad,92,29,44,1,8,7,5,1,0,1,0,0,22,0
394,David Silva,MID,Real Sociedad,66,29,40,1,3,9,3,0,0,0,0,0,6,0
395,Takefusa Kubo,MID,Real Sociedad,103,29,48,5,3,11,2,0,0,0,0,0,12,0
396,Jon Karrikaburu,FWD,Real Sociedad,5,29,6,0,0,0,1,0,0,0,0,0,0,0
397,Martin Merquelanz,FWD,Real Sociedad,0,29,0,0,0,0,0,0,0,0,0,0,0,0
398,Carlos Fernandez,FWD,Real Sociedad,16,29,16,1,0,0,4,0,0,0,0,0,0,0
399,Robert Navarro,FWD,Real Sociedad,16,29,18,0,0,0,2,0,0,0,0,0,0,0
400,Ander Barrenetxea,FWD,Real Sociedad,21,29,15,2,0,1,3,0,0,0,0,0,1,0
401,Mohamed-Ali Cho,FWD,Real Sociedad,25,29,17,0,2,0,1,0,0,0,0,0,3,0
402,Mikel Oyarzabal,FWD,Real Sociedad,32,29,22,2,1,0,0,0,0,1,0,0,1,0
