,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
430,Gonzalo Escalante,gonzalo-escalante,M,Cádiz,cadiz,46,33,34,1,2,3,1,1,0,7,0,0,0,2
431,Awer Mabil,awer-mabil,M,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
432,Youba Diarra,youba-diarra,M,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
433,Rubén Alcaraz,ruben-alcaraz,M,Cádiz,cadiz,78,33,61,1,1,7,14,0,0,11,0,0,0,16
434,Rubén Sobrino,ruben-sobrino,M,Cádiz,cadiz,38,33,40,0,1,6,7,2,0,6,0,0,0,2
435,Álex Fernández,alex-fernandez,M,Cádiz,cadiz,31,33,32,0,0,1,4,0,0,2,0,0,0,2
436,Fede San Emeterio,fede-san-emeterio,M,Cádiz,cadiz,12,33,6,1,0,2,1,1,0,0,0,0,0,3
437,Iván Alejo,ivan-alejo,M,Cádiz,cadiz,40,33,42,0,2,7,15,0,0,6,0,0,0,0
438,José Mari,jose-mari,M,Cádiz,cadiz,3,33,3,0,0,0,1,0,0,1,0,0,0,0
439,Martín Calderón,martin-calderon,M,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
440,Víctor Chust,victor-chust,D,Cádiz,cadiz,48,33,35,0,1,4,2,1,0,6,0,0,0,5
441,Javier Hernández,javier-hernandez,D,Cádiz,cadiz,65,33,47,1,2,4,6,0,0,8,0,0,0,4
442,Luis Hernández,luis-hernandez,D,Cádiz,cadiz,28,33,19,1,0,2,4,0,0,4,0,0,0,3
443,Fali,fali,D,Cádiz,cadiz,50,33,48,0,0,5,11,0,0,7,0,0,0,0
444,Mamadou Mbaye,mamadou-mbaye,D,Cádiz,cadiz,2,33,4,0,0,0,1,0,0,1,0,0,0,0
445,Joseba Zaldúa,joseba-zaldua,D,Cádiz,cadiz,7,33,10,0,0,0,1,0,0,2,0,0,0,0
446,Juan Cala,juan-cala,D,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
447,Raúl Parra,raul-parra,D,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
448,Jeremías Ledesma,jeremias-ledesma,G,Cádiz,cadiz,111,33,64,0,0,6,0,0,0,13,0,21,0,15
449,David Gil,david-gil,G,Cádiz,cadiz,7,33,3,0,0,0,1,0,0,0,0,2,0,3
450,Juan Flere,flere-juan,G,Cádiz,cadiz,0,33,0,0,0,0,0,0,0,0,0,0,0,0
451,Sandro Ramírez,sandro-ramirez,F,Las Palmas,las-palmas,53,33,38,1,3,5,2,0,0,5,1,0,0,6
452,Marc Cardona,marc-cardona,F,Las Palmas,las-palmas,43,33,27,3,1,4,3,0,0,1,0,0,0,4
453,Óscar Pinchi,oscar-pinchi,F,Las Palmas,las-palmas,0,33,0,0,0,0,0,0,0,0,0,0,0,0
454,Alberto Moleiro,alberto-moleiro,M,Las Palmas,las-palmas,61,33,37,2,3,5,0,0,0,5,0,0,0,0
455,Jonathan Viera,jonathan-viera,M,Almería,almeria,66,33,34,2,3,6,2,1,0,5,0,0,0,12
456,Enzo Loiodice,loiodice-enzo,M,Las Palmas,las-palmas,49,33,44,0,0,7,2,0,0,1,0,0,0,0
457,Omenuke Mfulu,omenuke-mfulu,M,Las Palmas,las-palmas,3,33,4,0,0,0,1,0,0,0,0,0,0,0
458,Kirian Rodríguez,kirian-rodriguez,M,Las Palmas,las-palmas,116,33,62,6,2,7,7,0,0,7,0,0,0,18
459,Pejiño,pejino,M,Las Palmas,las-palmas,33,33,19,2,0,2,1,0,0,0,0,0,0,3
460,Javier Muñoz,javier-munoz,M,Las Palmas,las-palmas,75,33,57,1,3,7,6,0,0,7,0,0,0,3
461,Cristian Herrera,cristian-herrera,M,Las Palmas,las-palmas,12,33,8,1,0,0,1,0,0,1,0,0,0,0
462,Benito Ramírez,benito-ramirez,M,Las Palmas,las-palmas,22,33,17,1,0,0,0,0,0,0,0,0,0,0
463,Fabio González,fabio-gonzalez,M,Las Palmas,las-palmas,4,33,4,0,0,0,0,0,0,0,0,0,0,0
464,Daley Sinkgraven,daley-sinkgraven,D,Las Palmas,las-palmas,10,33,13,0,0,1,0,2,0,1,0,0,0,0
465,Saúl Coco,saul-coco,D,Las Palmas,las-palmas,49,33,44,1,0,3,6,1,1,6,0,0,0,4
466,Eric Curbelo,eric-curbelo,D,Las Palmas,las-palmas,1,33,2,0,0,0,0,0,0,1,0,0,0,0
467,Sergi Cardona,sergi-cardona,D,Las Palmas,las-palmas,101,33,59,1,2,7,9,0,0,6,0,0,0,17
468,Enrique Clemente,enrique-clemente,D,Las Palmas,las-palmas,0,33,0,0,0,0,0,0,0,0,0,0,0,0
469,Álvaro Lemos,alvaro-lemos,D,Las Palmas,las-palmas,3,33,4,0,0,0,1,0,0,0,0,0,0,0
