,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
388,Benat Turrientes,MID,Real Sociedad,6,38,6,0,0,0,0,0,0,0,0,0,0,0
389,Ander Guevara,MID,Real Sociedad,0,38,0,0,0,0,0,0,0,0,0,0,0,0
390,Asier Illarramendi,MID,Real Sociedad,39,38,31,1,0,6,5,0,0,0,0,0,2,0
391,Martin Zubimendi,MID,Real Sociedad,90,38,70,1,3,12,12,0,0,0,0,0,6,0
392,Brais Mendez,MID,Real Sociedad,138,38,60,8,4,13,6,0,0,0,0,0,19,0
393,Mikel Merino,MID,Real Sociedad,120,38,59,2,9,10,6,1,0,1,0,0,25,0
394,David Silva,MID,Real Sociedad,90,38,50,2,4,11,4,0,0,0,0,0,11,0
395,Takefusa Kubo,MID,Real Sociedad,145,38,63,8,4,15,3,0,0,0,0,0,18,0
396,Jon Karrikaburu,FWD,Real Sociedad,5,38,6,0,0,0,1,0,0,0,0,0,0,0
397,Martin Merquelanz,FWD,Real Sociedad,0,38,0,0,0,0,0,0,0,0,0,0,0,0
398,Carlos Fernandez,FWD,Real Sociedad,26,38,27,1,0,0,5,0,0,0,0,0,0,0
399,Robert Navarro,FWD,Real Sociedad,16,38,18,0,0,0,2,0,0,0,0,0,0,0
400,Ander Barrenetxea,FWD,Real Sociedad,42,38,28,3,1,2,4,0,0,0,0,0,3,0
401,Mohamed-Ali Cho,FWD,Real Sociedad,35,38,22,1,2,0,1,0,0,0,0,0,4,0
402,Mikel Oyarzabal,FWD,Real Sociedad,48,38,35,3,1,0,1,0,0,1,0,0,1,0
403,Alexander Isak,FWD,Real Sociedad,8,38,4,1,0,0,0,0,0,0,0,0,0,0
404,Roberto Jimenez,GK,Real Valladolid,0,38,0,0,0,0,0,0,0,0,0,0,0,0
405,Jordi Masip,GK,Real Valladolid,129,38,56,0,0,8,4,0,0,0,25,3,20,15
406,Sergio Asenjo,GK,Real Valladolid,29,38,20,0,0,1,0,0,0,0,9,0,3,7
407,Adrian Gomez,DEF,Real Valladolid,0,38,0,0,0,0,0,0,0,0,0,0,0,0
408,Luis Perez,DEF,Real Valladolid,43,38,28,0,1,4,2,0,0,0,0,0,4,6
409,Joaquin Fernandez,DEF,Real Valladolid,65,38,49,1,0,6,4,0,1,0,0,0,6,14
410,Sergio Escudero,DEF,Real Valladolid,57,38,36,1,0,5,3,0,0,0,0,0,4,6
411,Javi Sanchez,DEF,Real Valladolid,73,38,58,1,0,7,11,0,0,0,0,0,5,13
412,Lucas Olaza,DEF,Real Valladolid,55,38,38,0,1,6,3,0,0,0,0,0,0,7
413,Jawad El Yamiq,DEF,Real Valladolid,47,38,41,1,0,3,2,1,0,0,0,0,5,12
414,Victor Garcia,MID,Real Valladolid,0,38,0,0,0,0,0,0,0,0,0,0,0,0
415,Kike Perez,MID,Real Valladolid,75,38,58,1,2,7,9,0,0,0,0,0,8,0
416,Alvaro Aguado,MID,Real Valladolid,67,38,49,1,2,4,3,0,0,0,0,0,6,0
417,Ivan Sanchez,MID,Real Valladolid,50,38,34,1,1,5,0,0,0,0,0,0,3,0
418,Moha Moukhliss,MID,Real Valladolid,0,38,0,0,0,0,0,0,0,0,0,0,0,0
419,Toni Villa,MID,Real Valladolid,51,38,35,1,3,4,2,0,0,0,0,0,0,0
420,Oscar Plano,MID,Real Valladolid,64,38,52,1,1,7,3,0,0,0,0,0,0,0
421,Roque Mesa,MID,Real Valladolid,53,38,42,2,1,6,9,1,0,0,0,0,4,0
422,Anuar,MID,Real Valladolid,12,38,5,1,0,0,1,0,0,0,0,0,3,0
423,Monchu,MID,Real Valladolid,70,38,53,2,2,5,9,0,0,0,0,0,5,0
424,Gonzalo Plata,MID,Real Valladolid,87,38,54,1,5,6,1,0,0,0,0,0,8,0
425,Waldo Marin,FWD,Real Valladolid,0,38,0,0,0,0,0,0,0,0,0,0,0,0
426,Sekou Gassama,FWD,Real Valladolid,1,38,1,0,0,0,0,0,0,0,0,0,0,0
427,Hugo Vallejo,FWD,Real Valladolid,0,38,0,0,0,0,0,0,0,0,0,0,0,0
428,Sergio Leon,FWD,Real Valladolid,69,38,39,6,1,0,0,1,0,1,0,0,8,0
429,Stiven Plaza,FWD,Real Valladolid,0,38,0,0,0,0,0,0,0,0,0,0,0,0
430,Sergi Guardiola,FWD,Cadiz,62,38,50,3,0,0,3,0,0,0,0,0,3,0
431,Shon Weissman,FWD,Real Valladolid,23,38,20,1,0,0,1,0,0,0,0,0,0,0
432,Marko Dmitrovic,GK,Sevilla,60,38,28,0,0,5,2,0,0,0,11,0,7,4
433,Bono,GK,Sevilla,72,38,48,0,0,4,2,0,0,0,14,1,6,15
434,Karim Rekik,DEF,Sevilla,47,38,28,1,1,5,2,0,1,0,0,0,0,6
435,Marcao,DEF,Sevilla,11,38,9,0,0,1,2,0,0,0,0,0,1,1
436,Jesus Navas,DEF,Sevilla,49,38,50,0,0,3,5,0,1,0,0,0,2,8
437,Gonzalo Montiel,DEF,Sevilla,51,38,42,0,3,4,8,1,0,0,0,0,2,7
438,Marcos Acuna,DEF,Sevilla,72,38,49,3,2,3,8,3,0,0,0,0,14,10
439,Alex Telles,DEF,Sevilla,53,38,41,0,2,4,6,0,0,0,0,0,1,5
440,Nemanja Gudelj,MID,Sevilla,95,38,63,3,1,7,8,0,0,0,0,0,15,13
441,Oliver Torres,MID,Sevilla,78,38,51,3,1,6,2,0,0,0,0,0,5,0
442,Rony Lopes,MID,Sevilla,0,38,0,0,0,0,0,0,0,0,0,0,0,0
443,Joan Jordan,MID,Sevilla,37,38,38,0,1,3,8,0,0,0,0,0,1,0
444,Fernando,MID,Sevilla,40,38,40,0,1,5,3,1,1,0,0,0,0,1
445,Thomas Delaney,MID,Sevilla,6,38,9,0,0,0,3,0,0,0,0,0,0,0
446,Jesus Corona,MID,Sevilla,11,38,5,1,0,0,0,0,0,0,0,0,1,0
447,Erik Lamela,MID,Sevilla,77,38,49,6,0,5,8,1,0,0,0,0,4,0
448,Papu Gomez,MID,Sevilla,39,38,28,1,1,2,4,0,0,0,0,0,5,0
449,Ivan Rakitic,MID,Sevilla,70,38,48,1,3,7,3,1,0,1,0,0,9,0
450,Isco,MID,Sevilla,24,38,21,0,2,2,5,0,0,0,0,0,0,0
451,Rafa Mir,FWD,Sevilla,67,38,39,6,0,0,1,0,0,0,0,0,5,0
452,Suso,FWD,Sevilla,57,38,33,2,4,3,1,0,0,0,0,0,5,0
453,Lucas Ocampos,MID,Sevilla,48,38,30,4,0,4,7,0,0,0,0,0,1,0
454,Munir El Haddadi,FWD,Getafe,53,38,37,3,1,2,4,0,0,0,0,0,5,0
455,Youssef En-Nesyri,FWD,Sevilla,81,38,45,8,1,0,4,0,0,0,0,0,5,0
456,Dragan Rosic,GK,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
457,Fernando Martinez,GK,Almeria,115,38,73,0,0,4,3,0,0,0,31,1,14,21
458,Ivan Martos,DEF,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
459,Juanjo Nieto,DEF,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
460,Jonathan Silva,DEF,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
461,Alex Centelles,DEF,Almeria,37,38,26,1,2,2,0,1,0,0,0,0,0,6
462,Houboulang Mendes,DEF,Almeria,12,38,22,0,1,0,2,0,0,0,0,0,0,11
463,Arnau Sola,DEF,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
464,Nikola Maras,DEF,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
465,Srdan Babic,DEF,Almeria,86,38,67,3,0,4,5,0,0,0,0,0,8,18
466,Alejandro Pozo,DEF,Almeria,68,38,48,0,3,3,2,0,0,0,0,0,6,5
467,Rodrigo Ely,DEF,Almeria,59,38,72,0,1,4,8,1,1,0,0,0,3,22
468,Chumi,DEF,Almeria,31,38,36,1,0,1,5,0,0,0,0,0,1,11
469,Sergio Akieme Rodriguez,DEF,Almeria,50,38,54,1,0,2,5,0,0,0,0,0,3,16
470,Kaiky,DEF,Almeria,8,38,18,0,0,0,5,0,0,0,0,0,0,5
471,Cesar de la Hoz,MID,Almeria,46,38,42,1,0,2,6,0,0,0,0,0,3,0
472,Curro,MID,Almeria,1,38,2,0,0,0,1,0,0,0,0,0,0,0
473,Gui,MID,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
474,Inigo Eguaras,MID,Almeria,34,38,31,1,1,1,6,0,0,0,0,0,0,0
475,Jose Carlos Lazo,MID,Almeria,22,38,11,1,1,0,0,0,0,0,0,0,3,0
476,Francisco Portillo,MID,Almeria,43,38,29,2,1,0,1,0,0,0,0,0,2,0
477,Samuel Costa,MID,Almeria,68,38,53,1,2,2,5,0,0,0,0,0,7,0
478,Martin Svidersky,MID,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
479,Arnau Puigmal,MID,Almeria,29,38,27,1,0,0,4,0,0,0,0,0,1,2
480,Lucas Robertone,MID,Almeria,117,38,70,2,7,7,7,0,0,0,0,0,16,0
481,Arvin Appiah,FWD,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
482,Marko Milovanovic,FWD,Almeria,1,38,2,0,0,0,1,0,0,0,0,0,0,0
483,Dyego Sousa,FWD,Almeria,24,38,22,0,1,0,1,0,0,0,0,0,0,0
484,Jordi Escobar,FWD,Almeria,0,38,0,0,0,0,0,0,0,0,0,0,0,0
485,Largie Ramazani,FWD,Almeria,55,38,45,3,1,0,6,0,0,1,0,0,3,0
486,Umar Sadiq,FWD,Real Sociedad,19,38,8,3,0,0,1,0,0,0,0,0,0,0
487,Cristian Rivero,GK,Valencia,0,38,0,0,0,0,0,0,0,0,0,0,0,0
488,Jaume Domenech,GK,Valencia,0,38,0,0,0,0,0,0,0,0,0,0,0,0
489,Giorgi Mamardashvili,GK,Valencia,127,38,76,0,0,7,3,0,0,0,23,0,16,13
490,Cristhian Mosquera,DEF,Valencia,4,38,4,0,0,0,0,0,0,0,0,0,0,0
491,Jesus Vazquez,DEF,Valencia,15,38,12,0,0,1,1,0,0,0,0,0,0,0
492,Dimitri Foulquier,DEF,Valencia,56,38,46,0,2,3,4,0,0,0,0,0,3,7
493,Toni Lato,DEF,Valencia,45,38,32,1,0,2,1,0,0,0,0,0,2,2
494,Eray Comert,DEF,Valencia,47,38,39,1,0,3,5,1,0,0,0,0,3,5
495,Thierry Correia,DEF,Valencia,57,38,50,0,0,4,6,0,0,0,0,0,3,6
496,Mouctar Diakhaby,DEF,Valencia,87,38,56,3,0,6,6,1,0,0,0,0,7,9
497,Gabriel Paulista,DEF,Valencia,34,38,37,1,0,1,2,2,0,0,0,0,1,6
498,Jose Luis Gaya,DEF,Valencia,103,38,61,1,3,6,4,0,0,1,0,0,21,12
499,Yellu Santiago,MID,Valencia,0,38,0,0,0,0,0,0,0,0,0,0,0,0
500,Koba Koindredi,MID,Valencia,0,38,0,0,0,0,0,0,0,0,0,0,0,0
501,Hugo Guillamon,MID,Valencia,61,38,42,1,4,5,5,0,1,0,0,0,4,0
502,Uros Racic,MID,Valencia,0,38,0,0,0,0,0,0,0,0,0,0,0,0
503,Samu Castillejo,MID,Valencia,60,38,37,4,0,5,7,0,0,0,0,0,5,0
504,Yunus Musah,MID,Valencia,57,38,55,0,2,6,10,1,0,0,0,0,3,0
505,Carlos Soler,MID,Valencia,15,38,6,1,0,1,0,0,0,0,0,0,3,0
506,Manu Vallejo,FWD,Girona,10,38,7,0,1,0,0,0,0,0,0,0,0,0
507,Marcos Andre,FWD,Valencia,19,38,19,1,0,0,2,1,0,0,0,0,1,0
508,Samuel Lino,FWD,Valencia,103,38,70,6,1,4,4,0,0,0,0,0,10,0
509,Hugo Duro,FWD,Valencia,40,38,40,1,1,0,5,0,0,1,0,0,0,0
510,Maximiliano Gomez,FWD,Valencia,3,38,3,0,0,0,0,0,0,0,0,0,0,0
511,Pepe Reina,GK,Villareal,72,38,44,0,0,5,2,0,0,0,12,0,5,7
512,Geronimo Rulli,GK,Villareal,80,38,28,0,0,7,1,0,0,0,12,0,15,2
513,Sergio Carreira,DEF,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
514,Adrian de la Fuente,DEF,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
515,Kiko Femenia,DEF,Villareal,44,38,31,0,0,4,0,0,0,0,0,0,0,3
516,Alfonso Pedraza,DEF,Villareal,75,38,43,0,3,7,5,0,0,0,0,0,4,4
517,Jorge Cuenca,DEF,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
518,Alberto Moreno,DEF,Villareal,40,38,35,0,1,3,7,0,0,0,0,0,0,3
519,Raul Albiol,DEF,Villareal,75,38,48,0,0,8,6,0,0,0,0,0,5,4
520,Pervis Estupinan,DEF,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
521,Juan Foyth,DEF,Villareal,75,38,45,1,0,6,6,0,0,0,0,0,12,6
522,Pau Torres,DEF,Villareal,106,38,68,1,0,11,10,0,1,0,0,0,9,9
523,Aissa Mandi,DEF,Villareal,46,38,36,0,0,4,1,0,0,0,0,0,0,5
524,Alejandro Baena,MID,Villareal,90,38,52,6,2,5,11,1,0,0,0,0,11,0
525,Manuel Morlanes,MID,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
526,Javier Ontiveros,MID,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
527,Nicolas Jackson,FWD,Villareal,109,38,42,12,4,1,4,1,0,0,0,0,14,0
528,Nikita Iosifov,MID,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
529,Manu Trigueros,MID,Villareal,31,38,29,0,1,3,2,1,0,0,0,0,1,0
530,Francis Coquelin,MID,Villareal,31,38,22,1,0,3,2,0,0,0,0,0,3,0
531,Etienne Capoue,MID,Villareal,70,38,49,3,0,7,4,0,0,0,0,0,3,0
532,Yeremy Pino,MID,Villareal,108,38,64,4,5,9,7,0,0,0,0,0,7,0
533,Dani Parejo,MID,Villareal,126,38,74,3,4,12,6,0,0,2,0,0,23,0
534,Samuel Chukwueze,MID,Villareal,120,38,62,6,5,5,1,0,0,0,0,0,9,0
535,Fernando Nino,FWD,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
536,Jose Luis Morales,FWD,Villareal,67,38,38,7,0,0,2,0,0,0,0,0,3,0
537,Paco Alcacer,FWD,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
538,Arnaut Danjuma,FWD,Villareal,24,38,14,2,0,0,0,0,0,0,0,0,2,0
539,Boulaye Dia,FWD,Villareal,0,38,0,0,0,0,0,0,0,0,0,0,0,0
540,Gerard Moreno,FWD,Villareal,74,38,33,7,3,0,4,0,0,1,0,0,10,0
541,Pablo Lumbreras,DEF,Osasuna,57,38,36,0,1,4,1,0,0,0,0,0,3,0
542,Ivan Romero,FWD,Sevilla,0,38,1,0,0,0,1,0,0,0,0,0,0,0
543,Ruben Sanchez Saez,MID,Espanyol,32,38,26,0,2,1,1,0,0,0,0,0,0,3
544,Edu Exposito,MID,Espanyol,51,38,36,2,2,0,3,1,0,0,0,0,5,0
545,Nico Gonzalez,MID,Valencia,46,38,37,1,1,2,0,0,1,0,0,0,1,0
546,Moi Parra,FWD,Getafe,1,38,1,0,0,0,0,0,0,0,0,0,0,0
547,Fran Delgado,DEF,Real Betis,1,38,1,0,0,0,0,0,0,0,0,0,0,0
548,Rober Gonzalez,FWD,Real Betis,1,38,2,0,0,0,1,0,0,0,0,0,0,0
549,John Donald,MID,Elche,1,38,4,0,0,0,0,1,0,0,0,0,0,2
550,Alejandro Alfaro,MID,Elche,1,38,1,0,0,0,0,0,0,0,0,0,0,0
551,Tanguy Nianzou,DEF,Sevilla,32,38,31,1,0,2,1,1,0,0,0,0,0,9
552,Fede San Emeterio,MID,Cadiz,49,38,51,0,1,7,14,0,0,0,0,0,2,0
553,Giovani Lo Celso,MID,Villareal,62,38,33,2,3,5,3,0,0,0,0,0,8,0
554,Pol Lirola,DEF,Elche,17,38,17,1,0,0,1,0,0,0,0,0,0,5
555,Alex Collado,MID,Elche,31,38,19,1,1,0,1,0,0,0,0,0,5,0
556,Domingos Quina,MID,Elche,7,38,11,0,0,0,1,1,0,0,0,0,0,0
557,Leo Baptistao,FWD,Almeria,75,38,49,5,2,1,7,0,0,0,0,0,7,0
558,Javier Hernandez,DEF,Girona,52,38,33,1,2,3,3,0,0,0,0,0,3,5
559,Jose Angel Carmona,DEF,Elche,37,38,28,3,1,0,7,2,0,0,0,0,6,5
560,Juanmi Latasa,FWD,Getafe,24,38,21,1,0,2,2,0,0,0,0,0,1,0
561,Dani Gomez,FWD,Espanyol,7,38,8,0,0,0,1,0,0,0,0,0,0,0
562,Antonio Blanco,MID,Cadiz,5,38,5,0,0,0,0,0,0,0,0,0,0,0
563,Jorgen Larsen,FWD,Celta Vigo,75,38,46,4,4,0,4,0,0,0,0,0,5,0
