,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
331,Saúl Ñíguez,saul-niguez,M,Atlético Madrid,atletico-madrid,1,1,2,0,0,0,1,0,0,0,0,0,0,0
332,Koke,koke,M,Atlético Madrid,atletico-madrid,2,1,2,0,0,0,0,0,0,0,0,0,0,0
333,Thomas Lemar,thomas-lemar,M,Atlético Madrid,atletico-madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
334,Rodrigo Riquelme,rodrigo-riquelme,M,Atlético Madrid,atletico-madrid,1,1,1,0,0,0,0,0,0,0,0,0,0,0
335,Pablo Barrios,pablo-barrios,M,Atlético Madrid,atletico-madrid,0,1,1,0,0,0,1,0,0,0,0,0,0,0
336,Vitolo,vitolo,M,Atlético Madrid,atletico-madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
337,Nahuel Molina,nahuel-molina,D,Atlético Madrid,atletico-madrid,1,1,1,0,0,0,0,0,0,0,0,0,0,0
338,César Azpilicueta,cesar-azpilicueta,D,Atlético Madrid,atletico-madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
339,Çağlar Söyüncü,caglar-soyuncu,D,Atlético Madrid,atletico-madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
340,José María Giménez,jose-maria-gimenez,D,Atlético Madrid,atletico-madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
341,Reinildo Isnard Mandava,mandava-reinildo-isnard,D,Atlético Madrid,atletico-madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
342,Stefan Savić,stefan-savic,D,Atlético Madrid,atletico-madrid,2,1,2,0,0,0,0,0,0,0,0,0,0,0
343,Mario Hermoso,mario-hermoso,D,Atlético Madrid,atletico-madrid,1,1,2,0,0,0,1,0,0,0,0,0,0,0
344,Javi Galán,javi-galan,D,Real Sociedad,real-sociedad,6,1,2,0,0,1,0,0,0,0,0,0,0,0
345,Santiago Mouriño,santiago-mourino,D,Atlético Madrid,real-zaragoza,0,1,0,0,0,0,0,0,0,0,0,0,0,0
346,Jan Oblak,jan-oblak,G,Atlético Madrid,atletico-madrid,3,1,2,0,0,0,0,0,0,0,0,1,0,0
347,Ivo Grbić,ivo-grbic,G,Atlético Madrid,atletico-madrid,0,1,0,0,0,0,0,0,0,0,0,0,0,0
348,Lázaro,lazaro,F,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
349,Luis Javier Suárez,luis-javier-suarez,F,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,El Bilal Touré,el-bilal-toure,F,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
351,Largie Ramazani,largie-ramazani,F,Almería,almeria,1,1,2,0,0,0,1,0,0,1,0,0,0,0
352,Léo Baptistão,leo-baptistao,F,Almería,almeria,-1,1,2,0,0,0,0,1,0,1,0,0,0,0
353,Adrián Embarba,adrian-embarba,F,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
354,Marko Milovanović,marko-milovanovic,F,Almería,almeria,1,1,1,0,0,0,0,0,0,0,0,0,0,0
355,Dyego Sousa,dyego-sousa,F,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
356,Arvin Appiah,arvin-appiah,F,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
357,Lucas Robertone,lucas-robertone,M,Almería,almeria,0,1,1,0,0,0,1,0,0,0,0,0,0,0
358,Gonzalo Melero,gonzalo-melero,M,Almería,almeria,2,1,2,0,0,0,0,0,0,1,0,0,0,0
359,Samuel Costa,samuel-costa,M,Almería,mallorca,0,1,0,0,0,0,0,0,0,0,0,0,0,0
360,Arnau Puigmal,arnau-puigmal,M,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
361,Gui,gui,M,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
362,Íñigo Eguaras,inigo-eguaras,M,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
363,Kaiky,kaiky,D,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
364,Srđan Babić,srdan-babic,D,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
365,Rodrigo Ely,rodrigo-ely,D,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
366,Sergio Akieme,sergio-akieme,D,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
367,Chumi,chumi,D,Almería,almeria,1,1,2,0,0,0,0,0,0,1,0,0,0,0
368,Edgar González,edgar-gonzalez,D,Almería,almeria,0,1,2,0,0,0,1,0,0,1,0,0,0,0
369,Alejandro Pozo,alejandro-pozo,D,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
370,Houboulang Mendes,houboulang-mendes,D,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
371,Álex Centelles,centelles-alex,D,Almería,almeria,3,1,2,0,1,0,1,0,0,1,0,0,0,0
372,Iván Martos,ivan-martos,D,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
373,Fernando Martínez,fernando-martinez,G,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
374,Diego Mariño,diego-marino,G,Almería,almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
375,Enes Ünal,enes-unal,F,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
376,Borja Mayoral,borja-mayoral,F,Getafe,getafe,1,1,1,0,0,0,0,0,0,0,0,0,0,0
377,Anthony Lozano,anthony-lozano,F,Almería,almeria,0,1,1,0,0,0,1,0,0,0,0,0,0,0
378,Juanmi Latasa,juanmi-latasa,F,Getafe,getafe,1,1,1,0,0,0,0,0,0,0,0,0,0,0
379,Jaime Mata,jaime-mata,M,Getafe,getafe,2,1,2,0,0,0,0,0,0,0,0,0,0,0
380,Jack Harper,jack-harper,F,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
381,Carles Aleñá,carles-alena,M,Getafe,getafe,1,1,1,0,0,0,0,0,0,0,0,0,0,0
382,Nemanja Maksimović,nemanja-maksimovic,M,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
383,Mauro Arambarri,mauro-arambarri,M,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
384,Luis Milla,luis-milla,M,Getafe,getafe,2,1,2,0,0,0,0,0,0,0,0,0,0,0
385,Portu,portu,M,Girona FC,girona-fc,3,1,2,0,0,1,0,0,0,0,0,0,0,0
386,Jaime Seoane,jaime-seoane,M,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
387,Ángel Algobia,angel-algobia,M,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
388,Sergi Altimira,sergi-altimira,M,Getafe,real-betis,1,1,2,0,0,0,1,0,0,0,0,0,0,0
389,Djené,djene,D,Getafe,getafe,1,1,2,0,0,0,1,0,0,0,0,0,0,0
390,Omar Alderete,omar-alderete,D,Getafe,getafe,4,1,2,0,0,0,0,0,0,0,0,0,0,2
391,Domingos Duarte,domingos-duarte,D,Getafe,getafe,1,1,1,0,0,0,0,0,0,0,0,0,0,0
392,Stefan Mitrović,stefan-mitrovic,D,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
393,Damián Suárez,damian-suarez,D,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
394,José Ángel Carmona,jose-angel-carmona,M,Getafe,getafe,1,1,1,0,0,0,0,0,0,0,0,0,0,0
395,Fabrizio Angileri,fabrizio-angileri,D,Getafe,getafe,1,1,1,0,0,0,0,0,0,0,0,0,0,0
396,Juan Iglesias,juan-iglesias,D,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
397,Jonathan Silva,jonathan-silva,D,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
398,Erick Cabaco,erick-cabaco,D,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
399,David Soria,david-soria,G,Getafe,getafe,1,1,2,0,0,0,1,0,0,0,0,0,0,0
400,Daniel Fuzato,daniel-fuzato,G,Getafe,getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
401,Mamadou Sylla,mamadou-sylla,F,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
402,Miguel de la Fuente,miguel-de-la-fuente,F,Deportivo Alavés,deportivo-alaves,0,1,0,0,0,0,0,0,0,0,0,0,0,0
