,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
430,Sergi Guardiola,FWD,Real Valladolid,1,1,1,0,0,0,0,0,0,0,0,0,0,0
431,Shon Weissman,FWD,Real Valladolid,1,1,1,0,0,0,0,0,0,0,0,0,0,0
432,Marko Dmitrovic,GK,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
433,Bono,GK,Sevilla,10,1,2,0,0,1,0,0,0,0,1,0,3,0
434,Karim Rekik,DEF,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
435,Marcao,DEF,Sevilla,6,1,2,0,0,1,1,0,0,0,0,0,1,0
436,Jesus Navas,DEF,Sevilla,1,1,1,0,0,0,0,0,0,0,0,0,0,0
437,Gonzalo Montiel,DEF,Sevilla,5,1,2,0,0,1,1,0,0,0,0,0,0,0
438,Marcos Acuna,DEF,Sevilla,1,1,1,0,0,0,0,0,0,0,0,0,0,0
439,Alex Telles,DEF,Sevilla,6,1,2,0,0,1,0,0,0,0,0,0,0,0
440,Nemanja Gudelj,MID,Sevilla,10,1,2,1,0,1,0,0,0,0,0,0,2,0
441,Oliver Torres,MID,Sevilla,3,1,2,0,0,1,0,0,0,0,0,0,0,0
442,Rony Lopes,MID,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
443,Joan Jordan,MID,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
444,Fernando,MID,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
445,Thomas Delaney,MID,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
446,Jesus Corona,MID,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
447,Erik Lamela,MID,Sevilla,2,1,2,0,0,1,1,0,0,0,0,0,0,0
448,Papu Gomez,MID,Sevilla,1,1,1,0,0,0,0,0,0,0,0,0,0,0
449,Ivan Rakitic,MID,Sevilla,3,1,2,0,0,1,0,0,0,0,0,0,0,0
450,Isco,MID,Sevilla,6,1,2,0,1,1,0,0,0,0,0,0,0,0
451,Rafa Mir,FWD,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
452,Suso,FWD,Sevilla,1,1,1,0,0,0,0,0,0,0,0,0,0,0
453,Lucas Ocampos,FWD,Sevilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0
454,Munir El Haddadi,FWD,Getafe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
455,Youssef En-Nesyri,FWD,Sevilla,1,1,1,0,0,0,0,0,0,0,0,0,0,0
456,Dragan Rosic,GK,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
457,Fernando Martinez,GK,Almeria,2,1,2,0,0,0,0,0,0,0,1,0,0,1
458,Ivan Martos,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
459,Juanjo Nieto,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
460,Jonathan Silva,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
461,Alex Centelles,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
462,Houboulang Mendes,DEF,Almeria,1,1,2,0,0,0,0,0,0,0,0,0,0,1
463,Arnau Sola,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
464,Nikola Maras,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
465,Srdan Babic,DEF,Almeria,1,1,2,0,0,0,0,0,0,0,0,0,0,1
466,Alejandro Pozo,DEF,Almeria,1,1,1,0,0,0,0,0,0,0,0,0,0,0
467,Rodrigo Ely,DEF,Almeria,1,1,2,0,0,0,0,0,0,0,0,0,0,1
468,Chumi,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
469,Sergio Akieme Rodriguez,DEF,Almeria,1,1,2,0,0,0,0,0,0,0,0,0,0,1
470,Kaiky,DEF,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
471,Cesar de la Hoz,MID,Almeria,2,1,2,0,0,0,0,0,0,0,0,0,0,0
472,Curro,MID,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
473,Gui,MID,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
474,Inigo Eguaras,MID,Almeria,2,1,2,0,0,0,0,0,0,0,0,0,0,0
475,Jose Carlos Lazo,MID,Almeria,1,1,1,0,0,0,0,0,0,0,0,0,0,0
476,Francisco Portillo,MID,Almeria,1,1,1,0,0,0,0,0,0,0,0,0,0,0
477,Samuel Costa,MID,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
478,Martin Svidersky,MID,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
479,Arnau Puigmal,MID,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,Lucas Robertone,MID,Almeria,1,1,1,0,0,0,0,0,0,0,0,0,0,0
481,Arvin Appiah,FWD,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
482,Marko Milovanovic,FWD,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
483,Dyego Sousa,FWD,Almeria,1,1,1,0,0,0,0,0,0,0,0,0,0,0
484,Jordi Escobar,FWD,Almeria,0,1,0,0,0,0,0,0,0,0,0,0,0,0
485,Largie Ramazani,FWD,Almeria,2,1,2,0,0,0,0,0,0,0,0,0,0,0
486,Umar Sadiq,FWD,Real Sociedad,0,1,0,0,0,0,0,0,0,0,0,0,0,0
487,Cristian Rivero,GK,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
488,Jaume Domenech,GK,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
489,Giorgi Mamardashvili,GK,Valencia,1,1,2,0,0,0,1,0,0,0,1,0,0,1
490,Cristhian Mosquera,DEF,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
491,Jesus Vazquez,DEF,Valencia,1,1,1,0,0,0,0,0,0,0,0,0,0,0
492,Dimitri Foulquier,DEF,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
493,Toni Lato,DEF,Valencia,1,1,1,0,0,0,0,0,0,0,0,0,0,0
494,Eray Comert,DEF,Valencia,0,1,2,0,0,0,1,0,0,0,0,0,0,1
495,Thierry Correia,DEF,Valencia,1,1,2,0,0,0,0,0,0,0,0,0,0,1
496,Mouctar Diakhaby,DEF,Valencia,0,1,0,0,0,0,0,0,0,0,0,0,0,0
